ALMACEN,TIENDA,NOMBRE,LATITUD,LONGITUD,TARIMAS
91000,14048,14048 PASEO DEL MAR,19.12772886,-104.3458026,1
95500,54040,54040 JUAREZ COMPOSTELA,21.237002,-104.889622,1
91000,13019,13019 SANTA INES,19.875532,-103.60239,1
95500,54078,54078 SAN VICENTE,21.954211,-105.294956,1
91000,12011,12011 CRUCERO TECOMAN,18.94439944,-103.9032791,1
95500,54038,54038 MEMBRILLO,21.482,-104.866829,1
91000,19121,19121 JOSE D. RUIZ,19.251775,-103.746537,1
93100,31157,31157 LEONA VICARIO,20.820167,-105.095631,2
91000,13079,13079 TECHALUTA,20.072228,-103.550646,1
95500,54026,54026 PUERTA DEL SOL,21.458692,-104.888512,2
95500,54093,54093 GAS ACAPONETA,22.49069,-105.37041,1
91000,12066,12066 EL MERCADITO,18.915417,-103.878999,1
93100,31062,31062 SAN ESTEBAN,20.647847,-105.200461,2
93100,31103,31103 LA PEÑITA,21.039532,-105.248118,1
95500,54041,54041 CRUCERO COMPOSTELA,21.23295,-104.92441,1
91000,12052,12052 MADRID,19.082975,-103.869906,1
91000,19125,19125 VALLE DEL SOL,19.242151,-103.770668,1
91000,14101,14101 EL AGUACATE,19.22429,-104.64339,1
91000,12018,12018 PALMA REAL,18.923104,-103.889605,1
91000,14012,14012 LAS GARZAS,19.11058146,-104.3171661,1
91000,51048,51048 GAS VILLA CORONA,20.41584,-103.66884,1
91000,13064,13064 USMAJAC,19.874815,-103.543965,1
95500,54035,54035 LOS SUACES,21.468784,-104.874718,1
91000,19058,19058 CUAUHTEMOC,19.3297,-103.60325,1
95500,54074,54074 MORELOS,21.522217,-104.915781,1
91000,14059,14059 UNIDAD DEPORTIVA,19.0936818,-104.3171836,2
91000,13007,13007 JAZMIN,19.69302622,-103.4691325,1
91000,12068,12068 CUYUTLAN,18.919683,-104.069215,1
91000,14044,14044 COLOMO ZARAGOZA,19.06067316,-104.2595828,2
95500,54005,54005 ZAPOPAN,21.515853,-104.881792,1
